Tamaño,a,Hash,K,Tiempo
10000,1,1,-1,0.469000
10001,1,1,-1,0.422000
15000,1,1,-1,0.422000
15001,1,1,-1,0.531000
10000,1,2,-1,0.031000
10001,1,2,-1,0.015000
15000,1,2,-1,0.000000
15001,1,2,-1,0.000000
10000,1,3,500,0.218000
10001,1,3,500,0.000000
15000,1,3,500,0.047000
15001,1,3,500,0.000000
10000,1,3,227,0.015000
10001,1,3,227,0.016000
15000,1,3,227,0.000000
15001,1,3,227,0.000000
10000,3,1,-1,0.187000
10001,3,1,-1,0.266000
15000,3,1,-1,0.219000
15001,3,1,-1,0.218000
10000,3,2,-1,0.016000
10001,3,2,-1,0.032000
15000,3,2,-1,0.000000
15001,3,2,-1,0.016000
10000,3,3,500,0.234000
10001,3,3,500,0.016000
15000,3,3,500,0.141000
15001,3,3,500,0.000000
10000,3,3,227,0.031000
10001,3,3,227,0.016000
15000,3,3,227,0.000000
15001,3,3,227,0.000000
10000,7,1,-1,0.188000
10001,7,1,-1,0.141000
15000,7,1,-1,0.140000
15001,7,1,-1,0.172000
10000,7,2,-1,0.015000
10001,7,2,-1,0.016000
15000,7,2,-1,0.000000
15001,7,2,-1,0.000000
10000,7,3,500,0.234000
10001,7,3,500,0.000000
15000,7,3,500,0.078000
15001,7,3,500,0.000000
10000,7,3,227,0.032000
10001,7,3,227,0.031000
15000,7,3,227,0.000000
15001,7,3,227,0.000000